"Source" "stat_id" "Statistic" "df1" "df2" "Value" "Reported.P.Value" "Computed" "Raw"
"166" 8 166 "F" "2" "55" "4.96" 0.01 0.0104608 "F(2, 55) = 4.96, p = .010"
"167" 8 167 "F" "2" "56" "3.8" 0.028 0.028344286 "F(2, 56) = 3.80, p = .028"
"168" 8 168 "F" "1" "58" "5.95" 0.02 0.017797484 "F(1, 58) = 5.95, p = .02"
"169" 8 169 "F" "2" "58" "6.34" 0.003 0.003234537 "F(2, 58) = 6.34, p = .003"
"170" 8 170 "F" "2" "58" "3.36" 0.042 0.041619328 "F(2, 58) = 3.36, p = .042"
"171" 8 171 "F" "2" "58" "1.99" 0.15 0.145920473 "F(2, 58) = 1.99, p = .15"
"172" 8 172 "F" "2" "58" "10.81" 0.001 0.000102275 "F(2, 58) = 10.81, p < .001"
"173" 9 173 "F" "3" "198" "103.78" 0.001 2.1e-40 "F(3, 198) = 103.78, p < .001"
"174" 9 174 "F" "3" "198" "384.84" 0.001 2.54e-82 "F(3, 198) = 384.84, p < .001"
"175" 9 175 "F" "1" "194" "71.98" 1e-04 5.52e-15 "F(1, 194) = 71.98, p < .0001"
"176" 9 176 "F" "3" "194" "9.01" 1e-04 1.29e-05 "F(3, 194) = 9.01, p < .0001"
"177" 9 177 "F" "1" "195" "37.94" 0.001 4.09e-09 "F(1, 195) = 37.94, p < .001"
"178" 9 178 "F" "3" "195" "22.51" 0.001 1.47e-12 "F(3, 195) = 22.51, p < .001"
"179" 9 179 "F" "1" "194" "83.22" 0.001 9.47e-17 "F(1, 194) = 83.22, p < .001"
"180" 9 180 "F" "3" "194" "12.15" 0.001 2.54e-07 "F(3, 194) = 12.15, p < .001"
"181" 9 181 "F" "3" "173" "4.04" 0.01 0.008298677 "F(3, 173) = 4.04, p < .01"
"182" 9 182 "F" "2.43" "419.24" "82.87" 0.001 5.29e-36 "F(2.43, 419.24) = 82.87, p = .001"
"183" 9 183 "F" "3" "173" "3.92" 0.05 0.009702692 "F(3, 173) = 3.92, p < .05"
"184" 9 184 "F" "2.43" "419.24" "4.79" 0.01 0.005272877 "F(2.43, 419.24) = 4.79, p = .01"
"185" 9 185 "F" "7.27" "419.24" "12.51" 0.001 5.22e-15 "F(7.27, 419.24) = 12.51, p < .001"
