"Source" "stat_id" "Statistic" "df1" "df2" "Value" "Reported.P.Value" "Computed" "Raw"
"3254" 158 3254 "t" "44" NA "4.57" 0.01 3.93e-05 "t(44) = 4.57, p < .01"
"3255" 158 3255 "t" "41" NA "3.65" 0.01 0.000734638 "t(41) = 3.65, p < .01"
"3256" 158 3256 "t" "44" NA "0.16" NA 0.873613349 "t(44) = 0.16, ns"
"3257" 158 3257 "t" "41" NA "0.12" NA 0.90506926 "t(41) = 0.12, ns"
"3258" 158 3258 "t" "44" NA "-0.31" NA 0.758024507 "t(44) = -0.31, ns"
"3259" 158 3259 "t" "41" NA "-0.25" NA 0.803835784 "t(41) = -0.25, ns"
"3260" 158 3260 "F" "3" "140" "0.54" NA 0.655670475 "F(3, 140) = 0.54, ns"
"3261" 158 3261 "F" "6" "282" "0.74" NA 0.617819019 "F(6, 282) = 0.74, ns"
"3262" 158 3262 "F" "1" "147" "126.59" 0.001 1.42e-21 "F(1, 147) = 126.59, p < .001"
"3263" 158 3263 "t" "147" NA "6.87" 0.001 1.69e-10 "t(147) = 6.87, p < .001"
"3264" 158 3264 "t" "147" NA "6.45" 0.001 1.52e-09 "t(147) = 6.45, p < .001"
"3265" 158 3265 "t" "143" NA "2.08" 0.05 0.039310369 "t(143) = 2.08, p < .05"
"3266" 158 3266 "t" "146" NA "2.08" 0.05 0.039273531 "t(146) = 2.08, p < .05"
"3267" 158 3267 "F" "1" "165" "0.03" NA 0.862702526 "F(1, 165) = 0.03, ns"
"3268" 158 3268 "F" "1" "165" "0.05" NA 0.823339885 "F(1, 165) = 0.05, ns"
"3269" 158 3269 "t" "172" NA "3.33" 0.01 0.001062662 "t(172) = 3.33, p < .01"
"3270" 158 3270 "t" "167" NA "1.98" 0.05 0.049346435 "t(167) = 1.98, p < .05"
"3271" 158 3271 "t" "58" NA "3.6" 0.001 0.000660104 "t(58) = 3.60, p = .001"
"3272" 158 3272 "t" "113" NA "1.65" 0.1 0.101719964 "t(113) = 1.65, p = .10"
"3273" 158 3273 "t" "111" NA "4.51" 0.001 1.62e-05 "t(111) = 4.51, p < .001"
"3274" 158 3274 "t" "114" NA "11.21" 0.001 4.13e-20 "t(114) = 11.21, p < .001"
"3275" 158 3275 "t" "166" NA "2.37" 0.05 0.018936234 "t(166) = 2.37, p < .05"
"3276" 158 3276 "t" "166" NA "0.33" NA 0.741816038 "t(166) = 0.33, ns"
"3277" 158 3277 "Z" NA NA "2.25" 0.05 0.024448945 " z = 2.25, p < .05"
"3278" 159 3278 "F" "1" "167" "4.66" 0.05 0.032300826 "F(1, 167) = 4.66, p < .05"
"3279" 159 3279 "F" "1" "167" "12.86" 0.001 0.000440495 "F(1, 167) = 12.86, p < .001"
"3280" 159 3280 "F" "1" "167" "6.96" 0.01 0.009123156 "F(1, 167) = 6.96, p < .01"
"3281" 159 3281 "F" "1" "167" "5.93" 0.05 0.015937342 "F(1, 167) = 5.93, p < .05"
"3282" 159 3282 "F" "1" "73" "9.47" 0.01 0.002940494 "F(1, 73) = 9.47, p < .01"
"3283" 159 3283 "F" "1" "73" "6.01" 0.05 0.016618391 "F(1, 73) = 6.01, p < .05"
"3284" 159 3284 "F" "1" "73" "2.71" 0.1 0.104019938 "F(1, 73) = 2.71, p = .10"
"3285" 159 3285 "F" "1" "54" "8.64" 0.01 0.004830751 "F(1, 54) = 8.64, p < .01"
"3286" 159 3286 "F" "1" "54" "4.88" 0.05 0.031432285 "F(1, 54) = 4.88, p < .05"
"3287" 159 3287 "F" "1" "54" "3.85" 0.054 0.054908195 "F(1, 54) = 3.85, p = .054"
"3288" 160 3288 "F" "1" "171" "3.92" 0.05 0.04931937 "F(1, 171) = 3.92, p = .05"
"3289" 160 3289 "F" "1" "124" "5.6" 0.01 0.019509373 "F(1, 124) = 5.60, p = .01"
"3290" 161 3290 "r" "150" NA "0.58" 0.001 4.87e-15 "r(150) = .58, p < .001"
"3291" 161 3291 "F" "2" "149" "58.35" 0.001 1.93e-19 "F(2, 149) = 58.35, p < .001"
"3292" 161 3292 "F" "2" "149" "5.31" 0.01 0.005920695 "F(2, 149) = 5.31, p = .01"
"3293" 161 3293 "t" "149" NA "4.56" 0.01 1.06e-05 "t(149) = 4.56, p < .01"
"3294" 161 3294 "t" "149" NA "2.96" 0.01 0.003580305 "t(149) = 2.96, p < .01"
"3295" 161 3295 "t" "149" NA "1.77" 0.08 0.07877241 "t(149) = 1.77, p = .08"
"3296" 161 3296 "t" "149" NA "4.6" 0.001 8.96e-06 "t(149) = 4.60, p < .001"
"3297" 161 3297 "t" "149" NA "3.15" 0.001 0.001973442 "t(149) = 3.15, p = .001"
"3298" 161 3298 "F" "1" "84" "3.54" 0.06 0.063369293 "F(1, 84) = 3.54, p = .06"
"3299" 161 3299 "F" "1" "84" "4.64" 0.03 0.034099714 "F(1, 84) = 4.64, p = .03"
"3300" 161 3300 "F" "1" "84" "0.24" 0.63 0.625483176 "F(1, 84) = 0.24, p = .63"
"3301" 161 3301 "F" "1" "93" "4.22" 0.04 0.042756322 "F(1, 93) = 4.22, p = .04"
"3302" 161 3302 "F" "1" "93" "5.33" 0.02 0.02317687 "F(1, 93) = 5.33, p = .02"
"3303" 161 3303 "F" "1" "93" "0.36" 0.55 0.549965424 "F(1, 93) = 0.36, p = .55"
"3304" 161 3304 "r" "86" NA "0.13" 0.24 0.227354438 "r(86) = .13, p = .24"
"3305" 161 3305 "r" "95" NA "0.11" 0.3 0.283455708 "r(95) = .11, p = .30"
"3306" 161 3306 "t" "108" NA "2.38" 0.02 0.019065879 "t(108) = 2.38, p = .02"
"3307" 161 3307 "t" "108" NA "1.94" 0.05 0.054987372 "t(108) = 1.94, p = .05"
"3308" 161 3308 "t" "107" NA "0.18" 0.85 0.85749302 "t(107) = 0.18, p = .85"
"3309" 161 3309 "t" "107" NA "1.26" 0.21 0.210410526 "t(107) = 1.26, p = .21"
"3310" 161 3310 "t" "102" NA "2.02" 0.046 0.046005378 "t(102) = 2.02, p = .046"
"3311" 161 3311 "t" "71" NA "3.13" 0.003 0.002537071 "t(71) = 3.13, p = .003"
"3312" 161 3312 "t" "76" NA "2.73" 0.01 0.007867132 "t(76) = 2.73, p = .01"
"3313" 161 3313 "t" "76" NA "0.95" 0.34 0.345123564 "t(76) = 0.95, p = .34"
"3314" 161 3314 "t" "59" NA "-0.28" 0.78 0.780456872 "t(59) = -0.28, p = .78"
"3315" 161 3315 "t" "90" NA "2.83" 0.006 0.005739979 "t(90) = 2.83, p = .006"
"3316" 161 3316 "t" "90" NA "2.89" 0.005 0.004827213 "t(90) = 2.89, p = .005"
"3317" 161 3317 "t" "89" NA "-2.63" 0.01 0.010060264 "t(89) = -2.63, p = .01"
"3318" 161 3318 "t" "89" NA "-2.98" 0.01 0.003715769 "t(89) = -2.98, p = .01"
"3319" 161 3319 "r" "42" NA "0.53" 0.001 0.00021556 "r(42) = .53, p < .001"
"3320" 161 3320 "t" "43" NA "-0.1" 0.92 0.920809111 "t(43) = -0.10, p = .92"
"3321" 161 3321 "t" "45" NA "1.79" 0.08 0.080183866 "t(45) = 1.79, p = .08"
"3322" 161 3322 "t" "45" NA "2.13" 0.039 0.038674292 "t(45) = 2.13, p = .039"
"3323" 161 3323 "t" "44" NA "-3.17" 0.01 0.002774266 "t(44) = -3.17, p < .01"
"3324" 161 3324 "F" "1" "42" "21.36" 0.001 3.6e-05 "F(1, 42) = 21.36, p < .001"
"3325" 161 3325 "F" "1" "42" "5.03" 0.03 0.030247143 "F(1, 42) = 5.03, p = .03"
"3326" 161 3326 "t" "42" NA "0.79" 0.43 0.433965594 "t(42) = 0.79, p = .43"
"3327" 161 3327 "t" "42" NA "-2.36" 0.02 0.022996381 "t(42) = -2.36, p = .02"
"3328" 161 3328 "t" "44" NA "-1.98" 0.054 0.053979076 "t(44) = -1.98, p = .054"
"3329" 161 3329 "F" "1" "38" "47.83" 0.001 3.2e-08 "F(1, 38) = 47.83, p < .001"
"3330" 161 3330 "F" "1" "38" "4.38" 0.04 0.043093033 "F(1, 38) = 4.38, p = .04"
"3331" 161 3331 "t" "38" NA "0.29" 0.773 0.773392875 "t(38) = 0.29, p = .773"
"3332" 161 3332 "t" "38" NA "-2.72" 0.009 0.009789464 "t(38) = -2.72, p = .009"
"3333" 161 3333 "t" "41" NA "-2.71" 0.01 0.009777947 "t(41) = -2.71, p = .01"
"3334" 161 3334 "F" "1" "67" "6.24" 0.015 0.014950745 "F(1, 67) = 6.24, p = .015"
"3335" 161 3335 "F" "1" "67" "4.59" 0.04 0.035796301 "F(1, 67) = 4.59, p = .04"
"3336" 161 3336 "t" "67" NA "0.29" 0.77 0.772711874 "t(67) = 0.29, p = .77"
"3337" 161 3337 "t" "67" NA "2.65" 0.01 0.010032666 "t(67) = 2.65, p = .01"
"3338" 161 3338 "t" "67" NA "-2.43" 0.017 0.017784422 "t(67) = -2.43, p = .017"
"3339" 161 3339 "t" "37" NA "-2.15" 0.04 0.038160169 "t(37) = -2.15, p = .04"
"3340" 161 3340 "t" "30" NA "1.13" 0.27 0.267430304 "t(30) = 1.13, p = .27"
"3341" 161 3341 "F" "1" "67" "2.88" 0.09 0.094327268 "F(1, 67) = 2.88, p = .09"
"3342" 161 3342 "t" "67" NA "0.48" 0.63 0.63279077 "t(67) = 0.48, p = .63"
"3343" 162 3343 "F" "7" "273" "3.08" 0.004 0.003861053 "F(7, 273) = 3.08, p = .004"
"3344" 162 3344 "F" "1" "39" "9.06" 0.005 0.004563686 "F(1, 39) = 9.06, p < .005"
"3345" 162 3345 "F" "7" "266" "0.76" 0.62 0.62136485 "F(7, 266) = 0.76, p = .62"
"3346" 162 3346 "F" "1" "38" "0.35" 0.56 0.557616544 "F(1, 38) = 0.35, p = .56"
"3347" 162 3347 "F" "7" "266" "1.35" 0.23 0.226987638 "F(7, 266) = 1.35, p = .23"
"3348" 162 3348 "F" "3" "117" "7.9" 0.001 7.63e-05 "F(3, 117) = 7.9, p < .001"
"3349" 163 3349 "F" "1" "77" "170.77" 0.001 3.12e-21 "F(1, 77) = 170.77, p < .001"
"3350" 163 3350 "F" "1" "77" "87.99" 0.001 2.22e-14 "F(1, 77) = 87.99, p < .001"
"3351" 163 3351 "F" "1" "77" "4.59" 0.035 0.035319078 "F(1, 77) = 4.59, p = .035"
"3352" 163 3352 "F" "1" "77" "6.91" 0.01 0.010343203 "F(1, 77) = 6.91, p = .01"
"3353" 163 3353 "t" "63" NA "3.05" 0.003 0.0033454 "t(63) = 3.05, p = .003"
"3354" 163 3354 "t" "34" NA "1.78" 0.08 0.084015428 "t(34) = 1.78, p = .08"
"3355" 163 3355 "t" "43" NA "1.75" 0.09 0.087251857 "t(43) = 1.75, p = .09"
"3356" 163 3356 "F" "1" "91" "93.04" 0.001 1.41e-15 "F(1, 91) = 93.04, p < .001"
"3357" 163 3357 "F" "1" "91" "7.91" 0.006 0.006022174 "F(1, 91) = 7.91, p = .006"
"3358" 163 3358 "F" "1" "91" "5.56" 0.02 0.020517275 "F(1, 91) = 5.56, p = .020"
"3359" 163 3359 "F" "1" "91" "5.27" 0.024 0.023993396 "F(1, 91) = 5.27, p = .024"
"3360" 163 3360 "t" "53.42" NA "3.07" 0.003 0.003361322 "t(53.42) = 3.07, p = .003"
"3361" 163 3361 "F" "1" "91" "5.59" 0.02 0.020189294 "F(1, 91) = 5.59, p = .020"
"3362" 163 3362 "t" "41.37" NA "3.58" 0.001 0.00089475 "t(41.37) = 3.58, p = .001"
"3363" 163 3363 "t" "48" NA "1.42" 0.16 0.162070437 "t(48) = 1.42, p = .16"
"3364" 163 3364 "t" "264" NA "2.55" 0.011 0.011337844 "t(264) = 2.55, p = .011"
"3365" 163 3365 "t" "264" NA "2.74" 0.006 0.006562918 "t(264) = 2.74, p = .006"
"3366" 163 3366 "t" "133" NA "-3.37" 0.001 0.000984044 "t(133) = -3.37, p < .001"
"3367" 163 3367 "t" "76" NA "2.12" 0.037 0.037270012 "t(76) = 2.12, p = .037"
"3368" 163 3368 "t" "90" NA "2.14" 0.035 0.035060048 "t(90) = 2.14, p = .035"
"3369" 164 3369 "F" "1" "194" "10.38" 0.001 0.001494067 "F(1, 194) = 10.38, p < .001"
"3370" 164 3370 "t" "48" NA "2.25" 0.05 0.02906969 "t(48) = 2.25, p < .05"
"3371" 164 3371 "t" "146" NA "1.95" 0.053 0.053092019 "t(146) = 1.95, p = .053"
"3372" 165 3372 "t" "29" NA "13.45" 0.01 5.4e-14 "t(29) = 13.45, p < .01"
"3373" 165 3373 "t" "21" NA "3.15" 0.01 0.004831943 "t(21) = 3.15, p < .01"
"3374" 165 3374 "t" "19" NA "-1" 0.33 0.329876801 "t(19) = -1.00, p = .33"
"3375" 165 3375 "r" "112" NA "0.58" 0.01 1.36e-11 "r(112) = .58, p < .01"
"3376" 166 3376 "F" "1" "121" "9.63" 0.01 0.002383398 "F(1, 121) = 9.63, p < .01"
"3377" 166 3377 "F" "1" "63" "4.93" 0.05 0.029999395 "F(1, 63) = 4.93, p < .05"
"3378" 166 3378 "F" "1" "58" "4.71" 0.05 0.034095598 "F(1, 58) = 4.71, p < .05"
"3379" 166 3379 "F" "1" "121" "1.7" 0.09 0.194763057 "F(1, 121) = 1.70, p = .09"
"3380" 166 3380 "F" "1" "56" "24.3" 0.001 7.71e-06 "F(1, 56) = 24.30, p < .001"
"3381" 166 3381 "F" "1" "40" "31.17" 0.001 1.82e-06 "F(1, 40) = 31.17, p < .001"
"3382" 166 3382 "F" "1" "16" "4.66" 0.05 0.046407633 "F(1, 16) = 4.66, p = .05"
"3383" 166 3383 "F" "1" "56" "4.86" 0.05 0.031611684 "F(1, 56) = 4.86, p = .05"
"3384" 166 3384 "F" "1" "115" "5.57" 0.05 0.019955215 "F(1, 115) = 5.57, p < .05"
"3385" 166 3385 "F" "1" "115" "3.92" 0.05 0.050103432 "F(1, 115) = 3.92, p < .05"
"3386" 166 3386 "F" "1" "86" "24.42" 0.001 3.78e-06 "F(1, 86) = 24.42, p < .001"
"3387" 166 3387 "F" "1" "86" "8.51" 0.01 0.004505014 "F(1, 86) = 8.51, p < .01"
"3388" 166 3388 "F" "1" "86" "2.92" 0.01 0.091094627 "F(1, 86) = 2.92, p < .01"
"3389" 166 3389 "F" "1" "40" "9.42" 0.01 0.003844534 "F(1, 40) = 9.42, p < .01"
"3390" 166 3390 "F" "1" "40" "16.81" 0.001 0.000196514 "F(1, 40) = 16.81, p < .001"
"3391" 166 3391 "F" "1" "46" "16.56" 0.001 0.000183265 "F(1, 46) = 16.56, p < .001"
"3392" 166 3392 "F" "1" "66" "7.78" 0.01 0.006897042 "F(1, 66) = 7.78, p < .01"
"3393" 166 3393 "F" "1" "66" "8.88" 0.01 0.004032535 "F(1, 66) = 8.88, p < .01"
"3394" 166 3394 "F" "1" "61" "2.76" 0.1 0.101779909 "F(1, 61) = 2.76, p = .10"
"3395" 166 3395 "F" "1" "36" "6.91" 0.05 0.012523523 "F(1, 36) = 6.91, p < .05"
"3396" 166 3396 "F" "1" "61" "3.79" 0.05 0.056168314 "F(1, 61) = 3.79, p = .05"
"3397" 166 3397 "F" "1" "61" "4.32" 0.05 0.041880852 "F(1, 61) = 4.32, p < .05"
"3398" 166 3398 "F" "1" "24" "5.6" 0.05 0.026373303 "F(1, 24) = 5.60, p < .05"
"3399" 166 3399 "F" "1" "60" "7.29" 0.01 0.008996712 "F(1, 60) = 7.29, p < .01"
"3400" 166 3400 "F" "1" "60" "5.47" 0.05 0.022694689 "F(1, 60) = 5.47, p < .05"
"3401" 166 3401 "F" "1" "36" "11.9" 0.001 0.001448442 "F(1, 36) = 11.90, p < .001"
"3402" 166 3402 "F" "1" "60" "4.65" 0.05 0.035071726 "F(1, 60) = 4.65, p < .05"
"3403" 166 3403 "F" "1" "174" "6.28" 0.001 0.01312876 "F(1, 174) = 6.28, p < .001"
"3404" 166 3404 "F" "1" "166" "7.3" 0.01 0.007611674 "F(1, 166) = 7.30, p < .01"
"3405" 166 3405 "F" "1" "166" "5.13" 0.05 0.024808957 "F(1, 166) = 5.13, p < .05"
"3406" 166 3406 "F" "1" "88" "13.18" 0.001 0.000474605 "F(1, 88) = 13.18, p < .001"
"3407" 166 3407 "F" "1" "166" "4.65" 0.05 0.032492866 "F(1, 166) = 4.65, p < .05"
"3408" 166 3408 "F" "1" "80" "6.89" 0.05 0.010380457 "F(1, 80) = 6.89, p < .05"
"3409" 166 3409 "F" "1" "79" "8.47" 0.01 0.00468895 "F(1, 79) = 8.47, p < .01"
"3410" 166 3410 "F" "1" "82" "5.95" 0.05 0.01687504 "F(1, 82) = 5.95, p < .05"
"3411" 166 3411 "F" "1" "86" "12.67" 0.01 0.000607921 "F(1, 86) = 12.67, p < .01"
"3412" 166 3412 "Z" NA NA "2.13" 0.05 0.033171613 " z = 2.13, p < .05"
"3413" 166 3413 "Z" NA NA "2.18" 0.05 0.029257462 " z = 2.18, p < .05"
"3414" 167 3414 "t" "90" NA "-3.19" 0.002 0.001958676 "t(90) = -3.19, p = .002"
"3415" 167 3415 "t" "90" NA "-1.41" 0.16 0.161986264 "t(90) = -1.41, p = .16"
"3416" 167 3416 "t" "90" NA "-1.78" 0.08 0.078451019 "t(90) = -1.78, p = .08"
"3417" 167 3417 "t" "90" NA "-3.49" 0.001 0.000750089 "t(90) = -3.49, p = .001"
"3418" 167 3418 "r" "90" NA "-0.39" 1e-04 0.000121568 "r(90) = -.39, p < .0001"
"3419" 167 3419 "r" "90" NA "-0.33" 0.001 0.001316004 "r(90) = -.33, p = .001"
"3420" 167 3420 "r" "90" NA "-0.24" 0.02 0.021205076 "r(90) = -.24, p = .02"
"3421" 167 3421 "r" "90" NA "-0.13" 0.21 0.216787144 "r(90) = -.13, p = .21"
"3422" 167 3422 "r" "90" NA "-0.28" 0.007 0.00686663 "r(90) = -.28, p = .007"
"3423" 167 3423 "r" "90" NA "-0.3" 0.004 0.003667923 "r(90) = -.30, p = .004"
"3424" 167 3424 "r" "90" NA "-0.18" 0.1 0.085988805 "r(90) = -.18, p = .10"
"3425" 167 3425 "r" "90" NA "-0.18" 0.09 0.085988805 "r(90) = -.18, p = .09"
"3426" 167 3426 "r" "90" NA "-0.01" 0.93 0.924626557 "r(90) = -.01, p = .93"
"3427" 167 3427 "r" "90" NA "-0.12" 0.24 0.254542562 "r(90) = -.12, p = .24"
"3428" 167 3428 "r" "90" NA "-0.002" 0.99 0.984904083 "r(90) = -.002, p = .99"
"3429" 167 3429 "r" "90" NA "0.03" 0.76 0.776502741 "r(90) = .03, p = .76"
"3430" 167 3430 "t" "266" NA "-2.53" 0.01 0.011983931 "t(266) = -2.53, p = .01"
"3431" 167 3431 "r" "266" NA "-0.15" 0.02 0.013969352 "r(266) = -.15, p = .02"
"3432" 167 3432 "r" "266" NA "-0.25" 1e-04 3.48e-05 "r(266) = -.25, p < .0001"
"3433" 167 3433 "r" "266" NA "0.09" 0.14 0.141707977 "r(266) = .09, p = .14"
"3434" 167 3434 "t" "266" NA "0.46" 0.65 0.645891991 "t(266) = 0.46, p = .65"
"3435" 167 3435 "r" "266" NA "0.03" 0.67 0.62488727 "r(266) = .03, p = .67"
"3436" 167 3436 "r" "266" NA "0.02" 0.7 0.744487676 "r(266) = .02, p = .70"
"3437" 167 3437 "r" "266" NA "0.01" 0.86 0.87056101 "r(266) = .01, p = .86"
"3438" 167 3438 "t" "1297" NA "-2.85" 0.005 0.004441074 "t(1297) = -2.85, p = .005"
"3439" 167 3439 "t" "1297" NA "0.8" 0.43 0.423857294 "t(1297) = 0.80, p = .43"
"3440" 167 3440 "t" "1297" NA "-0.24" 0.81 0.810368181 "t(1297) = -0.24, p = .81"
"3441" 167 3441 "t" "1297" NA "3.24" 0.002 0.00122562 "t(1297) = 3.24, p = .002"
"3442" 167 3442 "t" "1297" NA "-1.13" 0.26 0.258685153 "t(1297) = -1.13, p = .26"
"3443" 167 3443 "t" "1297" NA "-1.44" 0.15 0.150108721 "t(1297) = -1.44, p = .15"
"3444" 167 3444 "t" "1297" NA "0.53" 0.6 0.596202646 "t(1297) = 0.53, p = .60"
"3445" 167 3445 "t" "1301" NA "-2.06" 0.04 0.039597069 "t(1301) = -2.06, p = .04"
"3446" 167 3446 "t" "1301" NA "-0.55" 0.58 0.58241378 "t(1301) = -0.55, p = .58"
"3447" 167 3447 "t" "1301" NA "-0.86" 0.39 0.389947486 "t(1301) = -0.86, p = .39"
"3448" 167 3448 "t" "1301" NA "-0.05" 0.96 0.960130063 "t(1301) = -0.05, p = .96"
"3449" 167 3449 "t" "1301" NA "-1.2" 0.23 0.230357811 "t(1301) = -1.20, p = .23"
"3450" 167 3450 "t" "1301" NA "-0.89" 0.37 0.373630428 "t(1301) = -0.89, p = .37"
"3451" 167 3451 "t" "1301" NA "-0.1" 0.93 0.920359732 "t(1301) = -0.10, p = .93"
"3452" 167 3452 "t" "1295" NA "-2.92" 0.004 0.003560896 "t(1295) = -2.92, p = .004"
"3453" 167 3453 "t" "1295" NA "1.66" 0.1 0.097156555 "t(1295) = 1.66, p = .10"
"3454" 167 3454 "t" "1295" NA "-0.55" 0.58 0.582414217 "t(1295) = -0.55, p = .58"
"3455" 167 3455 "t" "1295" NA "0.2" 0.85 0.841511982 "t(1295) = 0.20, p = .85"
"3456" 167 3456 "t" "1295" NA "-1.14" 0.25 0.254497102 "t(1295) = -1.14, p = .25"
"3457" 167 3457 "t" "1295" NA "-1.28" 0.2 0.20077438 "t(1295) = -1.28, p = .20"
"3458" 167 3458 "t" "1295" NA "0.22" 0.83 0.825905829 "t(1295) = 0.22, p = .83"
"3459" 168 3459 "r" "64" NA "0.86" 0.01 2.3e-20 "r(64) = .86, p < .01"
"3460" 168 3460 "F" "1" "62" "319.86" 0.01 3.68e-26 "F(1, 62) = 319.86, p < .01"
"3461" 168 3461 "r" "60" NA "0.92" 0.01 4.34e-26 "r(60) = .92, p < .01"
"3462" 168 3462 "r" "60" NA "0.96" 0.01 7.21e-35 "r(60) = .96, p < .01"
"3463" 168 3463 "F" "1" "59" "280.22" 0.01 4.42e-24 "F(1, 59) = 280.22, p < .01"
"3464" 168 3464 "F" "1" "76" "33.38" 0.01 1.57e-07 "F(1, 76) = 33.38, p < .01"
"3465" 168 3465 "r" "77" NA "0.85" 0.001 3.9e-23 "r(77) = .85, p = .001"
"3466" 168 3466 "F" "1" "76" "85.84" 0.01 4.16e-14 "F(1, 76) = 85.84, p < .01"
"3467" 168 3467 "r" "77" NA "0.24" 0.01 0.033137877 "r(77) = .24, p < .01"
"3468" 168 3468 "r" "77" NA "0.14" 0.24 0.21847839 "r(77) = .14, p = .24"
"3469" 168 3469 "r" "77" NA "0.41" 0.01 0.000175103 "r(77) = .41, p < .01"
"3470" 168 3470 "F" "1" "73" "4.75" 0.03 0.032524988 "F(1, 73) = 4.75, p = .03"
"3471" 168 3471 "t" "70" NA "2.18" 0.03 0.032622527 "t(70) = 2.18, p = .03"
"3472" 168 3472 "F" "1" "73" "4.36" 0.04 0.040281338 "F(1, 73) = 4.36, p = .04"
"3473" 168 3473 "t" "70" NA "2.09" 0.04 0.040252143 "t(70) = 2.09, p = .04"
"3474" 168 3474 "F" "1" "73" "0.89" 0.35 0.348589164 "F(1, 73) = 0.89, p = .35"
"3475" 168 3475 "t" "73" NA "0.94" 0.35 0.35031764 "t(73) = 0.94, p = .35"
"3476" 168 3476 "F" "1" "72" "3.98" 0.02 0.04982903 "F(1, 72) = 3.98, p = .02"
"3477" 168 3477 "t" "72" NA "1.86" 0.07 0.066970235 "t(72) = 1.86, p = .07"
"3478" 168 3478 "t" "72" NA "1.76" 0.08 0.082655098 "t(72) = 1.76, p = .08"
"3479" 168 3479 "F" "1" "185" "46.62" 0.01 1.2e-10 "F(1, 185) = 46.62, p < .01"
"3480" 168 3480 "F" "1" "186" "5.19" 0.02 0.023854227 "F(1, 186) = 5.19, p = .02"
"3481" 168 3481 "F" "1" "182" "4.24" 0.04 0.040906401 "F(1, 182) = 4.24, p = .04"
"3482" 168 3482 "t" "182" NA "2.06" 0.04 0.040821812 "t(182) = 2.06, p = .04"
"3483" 168 3483 "F" "1" "180" "0.62" 0.43 0.432082868 "F(1, 180) = 0.62, p = .43"
"3484" 168 3484 "t" "180" NA "-0.79" 0.43 0.430567262 "t(180) = -0.79, p = .43"
"3485" 168 3485 "Z" NA NA "0.65" 0.52 0.515692222 " z = 0.65, p = .52"
"3486" 168 3486 "r" "188" NA "0.69" 0.01 3.41e-28 "r(188) = .69, p < .01"
"3487" 168 3487 "F" "1" "180" "6.08" 0.02 0.014608914 "F(1, 180) = 6.08, p = .02"
"3488" 168 3488 "t" "180" NA "-2.47" 0.02 0.014442854 "t(180) = -2.47, p = .02"
"3489" 168 3489 "Z" NA NA "2.28" 0.03 0.022607688 " z = 2.28, p < .03"
"3490" 168 3490 "F" "1" "175" "16.06" 0.01 9.07e-05 "F(1, 175) = 16.06, p < .01"
"3491" 168 3491 "F" "1" "162" "96.04" 0.01 4.27e-18 "F(1, 162) = 96.04, p > .01"
"3492" 168 3492 "F" "1" "161" "21.32" 0.01 7.91e-06 "F(1, 161) = 21.32, p < .01"
"3493" 168 3493 "r" "162" NA "0.24" 0.01 0.00196574 "r(162) = .24, p < .01"
"3494" 168 3494 "r" "162" NA "0.23" 0.01 0.00304921 "r(162) = .23, p < .01"
"3495" 168 3495 "r" "162" NA "0.42" 0.01 2.16e-08 "r(162) = .42, p < .01"
"3496" 168 3496 "F" "4" "150" "2.48" 0.05 0.046383451 "F(4, 150) = 2.48, p < .05"
"3497" 168 3497 "F" "1" "153" "5.91" 0.02 0.016210892 "F(1, 153) = 5.91, p < .02"
"3498" 168 3498 "F" "1" "153" "3.17" 0.08 0.076987006 "F(1, 153) = 3.17, p < .08"
"3499" 168 3499 "F" "1" "158" "1.2" 0.18 0.274988676 "F(1, 158) = 1.20, p = .18"
"3500" 168 3500 "F" "1" "158" "0.08" 0.75 0.777667624 "F(1, 158) = 0.08, p = .75"
"3501" 168 3501 "F" "1" "158" "0.015" 0.69 0.902678892 "F(1, 158) = 0.015, p = .69"
"3502" 168 3502 "F" "2" "157" "3.34" 0.04 0.037972294 "F(2, 157) = 3.34, p < .04"
"3503" 168 3503 "t" "156" NA "-2" 0.05 0.047235892 "t(156) = -2.00, p < .05"
"3504" 168 3504 "F" "1" "156" "4.02" 0.05 0.046693383 "F(1, 156) = 4.02, p < .05"
"3505" 168 3505 "Z" NA NA "2.47" 0.02 0.013511305 " z = 2.47, p < .02"
"3506" 168 3506 "t" "156" NA "0.43" 0.67 0.66778904 "t(156) = 0.43, p = .67"
"3507" 168 3507 "F" "1" "156" "0.19" 0.67 0.663519192 "F(1, 156) = 0.19, p = .67"
"3508" 168 3508 "t" "156" NA "0.22" 0.83 0.826158783 "t(156) = 0.22, p = .83"
"3509" 168 3509 "F" "1" "156" "0.05" 0.83 0.82335583 "F(1, 156) = 0.05, p = .83"
"3510" 168 3510 "F" "1" "76" "6.33" 0.014 0.013980795 "F(1, 76) = 6.33, p = .014"
"3511" 168 3511 "r" "77" NA "-0.19" 0.09 0.093512269 "r(77) = -.19, p = .09"
"3512" 169 3512 "t" "91" NA "2.03" 0.05 0.045276347 "t(91) = 2.03, p < .05"
"3513" 169 3513 "t" "91" NA "2.46" 0.02 0.01578247 "t(91) = 2.46, p < .02"
"3514" 169 3514 "t" "98" NA "4.85" 1e-04 4.65e-06 "t(98) = 4.85, p < .0001"
"3515" 169 3515 "t" "98" NA "3.53" 0.001 0.000634843 "t(98) = 3.53, p < .001"
"3516" 169 3516 "t" "97" NA "4.29" 0.001 4.23e-05 "t(97) = 4.29, p < .001"
"3517" 169 3517 "t" "97" NA "1.09" 0.27 0.27841356 "t(97) = 1.09, p > .27"
