"";"0.01";"0.03";"0.05";"0.07";"0.09";"0.11";"0.13";"0.15";"0.2";"0.3";"0.4";"0.5";"0.6";"0.7";"0.8";"0.9";"lengthRes"
"115";0,629;0,958;0,997;1;1;1;1;1;1;1;1;1;1;1;1;1;7
"116";0,519;0,955;0,998;1;1;1;1;1;1;1;1;1;1;1;1;1;15
"117";0,296;0,691;0,911;0,968;0,978;1;1;1;1;1;1;1;1;1;1;1;18
"118";0,368;0,812;0,969;0,993;0,997;1;1;1;1;1;1;1;1;1;1;1;12
"119";0,471;0,949;0,996;1;1;1;1;1;1;1;1;1;1;1;1;1;45
"120";0,505;0,967;0,998;1;1;1;1;1;1;1;1;1;1;1;1;1;33
"121";0,637;0,983;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;52
"122";0,245;0,443;0,653;0,792;0,874;0,916;0,952;0,973;0,992;0,998;1;1;1;1;1;1;10
"123";0,294;0,464;0,628;0,721;0,811;0,836;0,868;0,911;0,95;0,985;0,999;1;1;1;1;1;1
"124";0,912;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;90
"125";0,364;0,831;0,964;0,991;0,999;1;1;1;1;1;1;1;1;1;1;1;32
"126";0,346;0,763;0,916;0,96;0,979;0,99;0,993;0,997;1;1;1;1;1;1;1;1;54
"127";0,214;0,482;0,704;0,837;0,914;0,97;0,982;0,995;1;1;1;1;1;1;1;1;19
"128";0,626;0,984;1;1;1;1;1;1;1;1;1;1;1;1;1;1;56
"129";0,337;0,667;0,817;0,885;0,942;0,968;0,983;0,989;0,997;1;1;1;1;1;1;1;2
"130";0,44;0,916;0,997;1;1;1;1;1;1;1;1;1;1;1;1;1;63
"131";0,39;0,808;0,963;0,993;0,998;1;1;1;1;1;1;1;1;1;1;1;21
"132";0,259;0,58;0,795;0,917;0,976;0,988;0,997;1;1;1;1;1;1;1;1;1;21
"133";0,775;0,961;0,993;1;1;1;1;1;1;1;1;1;1;1;1;1;17
"134";0,173;0,368;0,591;0,696;0,834;0,914;0,941;0,963;0,997;1;1;1;1;1;1;1;14
"135";0,618;0,939;0,985;0,993;0,999;1;1;1;1;1;1;1;1;1;1;1;7
"136";0,41;0,76;0,918;0,952;0,983;0,99;0,995;1;1;1;1;1;1;1;1;1;3
"137";0,718;0,993;1;1;1;1;1;1;1;1;1;1;1;1;1;1;34
"138";0,286;0,53;0,737;0,832;0,885;0,936;0,957;0,971;0,992;1;1;1;1;1;1;1;4
"139";0,435;0,871;0,976;0,991;0,994;0,999;1;1;1;1;1;1;1;1;1;1;9
"140";0,499;0,937;0,998;1;1;1;1;1;1;1;1;1;1;1;1;1;32
"141";0,23;0,439;0,554;0,628;0,713;0,752;0,815;0,829;0,894;0,964;0,981;1;1;1;1;1;1
"142";0,652;0,993;1;1;1;1;1;1;1;1;1;1;1;1;1;1;51
"143";0,449;0,904;0,987;0,999;1;1;1;1;1;1;1;1;1;1;1;1;29
"144";0,31;0,755;0,95;0,993;0,997;1;1;1;1;1;1;1;1;1;1;1;30
"145";0,377;0,653;0,774;0,855;0,9;0,936;0,938;0,958;0,985;1;1;1;1;1;1;1;1
"146";0,192;0,409;0,6;0,73;0,859;0,892;0,937;0,969;0,987;0,999;1;1;1;1;1;1;4
"147";0,515;0,98;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;53
"148";0,38;0,86;0,984;0,998;1;1;1;1;1;1;1;1;1;1;1;1;57
"149";0,996;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;73
"150";0,226;0,386;0,549;0,665;0,756;0,778;0,858;0,852;0,939;0,982;0,998;1;1;1;1;1;2
"151";0,513;0,964;0,998;1;1;1;1;1;1;1;1;1;1;1;1;1;37
"152";0,399;0,832;0,935;0,984;0,997;1;1;1;1;1;1;1;1;1;1;1;15
"153";0,36;0,811;0,968;0,997;1;1;1;1;1;1;1;1;1;1;1;1;28
"154";0,232;0,481;0,683;0,789;0,853;0,92;0,938;0,95;0,97;0,999;1;1;1;1;1;1;11
"155";0,357;0,872;0,992;1;1;1;1;1;1;1;1;1;1;1;1;1;63
"156";0,341;0,838;0,981;0,996;1;1;1;1;1;1;1;1;1;1;1;1;48
"157";0,571;0,955;0,997;1;1;1;1;1;1;1;1;1;1;1;1;1;20
"158";0,626;0,991;1;1;1;1;1;1;1;1;1;1;1;1;1;1;40
"159";0,355;0,751;0,91;0,976;0,983;0,991;0,996;1;1;1;1;1;1;1;1;1;10
"160";0,288;0,591;0,745;0,854;0,923;0,931;0,966;0,981;0,992;1;1;1;1;1;1;1;2
"161";0,572;0,986;1;1;1;1;1;1;1;1;1;1;1;1;1;1;53
"162";0,285;0,67;0,829;0,92;0,952;0,961;0,978;0,984;0,994;1;1;1;1;1;1;1;6
"163";0,426;0,866;0,972;0,996;1;1;1;1;1;1;1;1;1;1;1;1;20
"164";0,268;0,548;0,74;0,824;0,897;0,917;0,944;0,969;0,985;0,999;1;1;1;1;1;1;3
"165";0,172;0,308;0,435;0,528;0,635;0,664;0,754;0,806;0,886;0,968;0,992;0,999;1;1;1;1;4
"166";0,497;0,941;0,997;1;1;1;1;1;1;1;1;1;1;1;1;1;38
"167";0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;45
"168";0,785;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;53
"169";0,767;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;57
"170";0,458;0,889;0,983;0,994;1;1;1;1;1;1;1;1;1;1;1;1;20
"171";0,631;0,995;1;1;1;1;1;1;1;1;1;1;1;1;1;1;55
"172";0,402;0,923;0,995;1;1;1;1;1;1;1;1;1;1;1;1;1;36
"173";0,579;0,986;1;1;1;1;1;1;1;1;1;1;1;1;1;1;65
"174";0,866;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;44
"175";0,561;0,919;0,989;1;1;1;1;1;1;1;1;1;1;1;1;1;13
"176";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2
"177";0,436;0,912;0,989;0,997;1;1;1;1;1;1;1;1;1;1;1;1;25
"178";0,379;0,819;0,954;0,974;0,99;0,999;1;1;1;1;1;1;1;1;1;1;7
"179";0,269;0,665;0,896;0,971;0,992;0,998;1;1;1;1;1;1;1;1;1;1;20
"180";0,794;0,998;1;1;1;1;1;1;1;1;1;1;1;1;1;1;42
"181";0,615;0,993;1;1;1;1;1;1;1;1;1;1;1;1;1;1;55
"182";0,462;0,943;0,996;1;1;1;1;1;1;1;1;1;1;1;1;1;27
"183";0,567;0,978;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;48
"184";0,407;0,867;0,988;1;1;1;1;1;1;1;1;1;1;1;1;1;38
"185";0,969;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;146
"186";0,602;0,984;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;27
