"";"fishTest.0.01";"fishTest.0.02";"fishTest.0.03";"fishTest.0.04";"fishTest.0.05";"fishTest.0.07";"fishTest.0.09";"fishTest.0.11";"fishTest.0.13";"fishTest.0.15";"fishTest.0.2";"fishTest.0.25";"fishTest.0.3";"fishTest.0.35";"fishTest.0.4";"fishTest.0.45";"fishTest.0.5";"fishTest.0.55";"fishTest.0.6";"fishTest.0.65";"fishTest.0.7";"fishTest.0.75";"fishTest.0.8";"fishTest.0.85";"fishTest.0.9";"fishTest.0.95";"fishTestCompl.0.01";"fishTestCompl.0.02";"fishTestCompl.0.03";"fishTestCompl.0.04";"fishTestCompl.0.05";"fishTestCompl.0.07";"fishTestCompl.0.09";"fishTestCompl.0.11";"fishTestCompl.0.13";"fishTestCompl.0.15";"fishTestCompl.0.2";"fishTestCompl.0.25";"fishTestCompl.0.3";"fishTestCompl.0.35";"fishTestCompl.0.4";"fishTestCompl.0.45";"fishTestCompl.0.5";"fishTestCompl.0.55";"fishTestCompl.0.6";"fishTestCompl.0.65";"fishTestCompl.0.7";"fishTestCompl.0.75";"fishTestCompl.0.8";"fishTestCompl.0.85";"fishTestCompl.0.9";"fishTestCompl.0.95"
"41";0,371;0,633;0,847;0,948;0,979;0,998;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,028;0,004;0,001;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"42";0,739;0,968;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,008;0,002;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1
"43";0,28;0,425;0,583;0,681;0,736;0,882;0,934;0,957;0,982;0,988;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,051;0,023;0,012;0,01;0,007;0,008;0,002;0,002;0;0,001;0,001;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
"44";0,412;0,77;0,908;0,977;0,998;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,021;0,006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002;1;1
"45";0,187;0,265;0,377;0,476;0,554;0,678;0,784;0,846;0,929;0,942;0,982;0,995;0,998;1;0,999;1;1;1;1;1;1;1;1;1;1;1;0,071;0,044;0,028;0,025;0,016;0,008;0,005;0,003;0,003;0,002;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"46";0,158;0,258;0,32;0,422;0,513;0,693;0,789;0,871;0,945;0,968;0,994;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,07;0,053;0,043;0,033;0,013;0,004;0,005;0,004;0,002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"47";0,49;0,748;0,879;0,958;0,976;0,994;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0,021;0,003;0,002;0;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
"48";0,278;0,452;0,569;0,659;0,756;0,855;0,926;0,953;0,978;0,989;0,997;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,05;0,035;0,012;0,006;0,006;0,003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
"49";0,316;0,543;0,734;0,836;0,912;0,982;0,995;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,031;0,017;0,007;0,002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"50";0,398;0,572;0,677;0,751;0,793;0,853;0,918;0,922;0,964;0,971;0,989;0,995;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0,03;0,011;0,007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
"51";0,135;0,201;0,231;0,271;0,293;0,398;0,422;0,491;0,55;0,611;0,641;0,774;0,847;0,848;0,91;0,916;0,953;0,968;0,986;0,993;0,998;0,999;1;1;1;1;0,085;0,077;0,051;0,051;0,037;0,034;0,018;0,013;0,006;0,007;0,003;0,003;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0
"52";0,347;0,539;0,651;0,762;0,829;0,9;0,954;0,97;0,984;0,991;0,999;0,999;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0,035;0,012;0,009;0,002;0,003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
"53";0,763;0,942;0,992;0,993;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,983;0,999;1;0,047;0,081;0,146;0;0,004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
"54";0,192;0,293;0,378;0,499;0,567;0,696;0,833;0,874;0,908;0,964;0,986;0,996;0,998;1;1;1;1;1;1;1;1;1;1;1;1;1;0,06;0,037;0,025;0,018;0,004;0,006;0,004;0,004;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"55";0,541;0,857;0,972;0,996;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,021;0,002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
"56";0,285;0,39;0,5;0,557;0,61;0,721;0,774;0,803;0,86;0,887;0,932;0,952;0,978;0,985;0,991;0,999;1;1;1;1;1;1;1;0;0;0;0,039;0,028;0,014;0,013;0,004;0,004;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
"57";0,735;0,9;0,974;0,985;0,993;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1
